EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18
* THE NUT SQUIRRELS-1,18,KC,TEN,CLE,LAR,ARI,IND,BUF,PHI,PIT,GB,LAC,HOU,MIA,MIN,SEA,BAL,TB,WAS
7- Out-1,18,NE,TEN,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,HOU,NYG,MIN,SEA,ARI,CHI,CLE
Artie Blanco-1,18,BUF,TB,CLE,LAR,DAL,MIA,NO,KC,PIT,GB,LAC,HOU,NYG,MIN,SEA,TEN,BAL,IND
BALD RAZORS-2,18,BUF,ARI,CLE,TB,LAR,IND,LAC,PHI,KC,GB,PIT,HOU,NYG,MIA,SEA,TEN,BAL,NO
BOBBYT-2,18,BUF,SEA,CLE,LAR,BAL,MIA,LAC,PHI,KC,GB,PIT,HOU,NYG,MIN,TB,TEN,NO,IND
BOYCOTT 8 PCT-4,18,KC,TEN,CLE,LAR,HOU,MIA,NO,PHI,PIT,GB,LAC,WAS,NYG,MIN,SEA,BAL,TB,IND
CLARKGRIZWOLD-2,18,BUF,TEN,IND,LAR,BAL,MIA,LAC,PHI,PIT,NO,KC,HOU,CLE,MIN,SEA,GB,TB,WAS
COLTS45-2,18,PIT,GB,IND,LAR,NO,MIA,PHI,TB,NE,CLE,LAC,HOU,BUF,LV,SEA,BAL,KC,TEN
DaliBones-1,18,KC,CHI,CLE,LAR,DAL,IND,BUF,PHI,PIT,NO,LAC,WAS,GB,MIA,SEA,BAL,TB,TEN
EX-FINANCE-1,18,KC,TEN,IND,LAR,ARI,MIA,BUF,TB,PIT,GB,LAC,HOU,NO,MIN,SEA,BAL,CHI,CLE
Golfing in Hell-2,18,BUF,TB,IND,LAR,HOU,MIA,NO,PHI,PIT,GB,LAC,WAS,CLE,MIN,SEA,TEN,KC,BAL
JakestroJans-1,18,TEN,PIT,TB,LAR,ARI,MIA,LAC,PHI,GB,NO,KC,HOU,CLE,LV,SEA,BAL,CHI,IND
Joncon16-1,18,NE,CLE,IND,LAR,ARI,BAL,PHI,BUF,PIT,GB,LAC,HOU,NYG,MIA,SEA,TEN,KC,WAS
LoveMyBaxter-1,18,BAL,CLE,IND,LAR,PIT,MIA,BUF,KC,GB,NO,LAC,HOU,NYG,MIN,SEA,TEN,TB,WAS
LoveMyBaxter-2,18,BAL,CLE,IND,LAR,PIT,MIA,BUF,KC,GB,NO,LAC,HOU,NYG,MIN,SEA,TEN,TB,WAS
MK INVEST-1,18,BUF,ARI,CLE,LAR,NO,MIA,KC,PHI,PIT,TB,LAC,HOU,NYG,LV,SEA,TEN,BAL,IND
Mucked Nuts.-1,18,KC,PIT,NE,TB,LAR,IND,BUF,PHI,TEN,NO,LAC,HOU,GB,MIA,SEA,ARI,CHI,BAL
Pauline Park-4,18,BUF,SF,IND,LAR,NO,BAL,LAC,PHI,PIT,GB,KC,HOU,CLE,MIA,SEA,TEN,TB,WAS
PICKSWCLARS24-1,18,BUF,TB,CLE,LAR,ARI,MIA,LAC,PHI,NE,GB,PIT,HOU,NYG,MIN,SEA,TEN,KC,BAL
PLAYIN N STAYIN-1,18,BUF,TB,IND,LAR,BAL,MIA,NO,KC,NE,CLE,PIT,WAS,NYG,LV,SEA,GB,CHI,TEN
pointsonthepackage-1,18,PIT,TB,IND,LAR,ARI,MIA,BUF,PHI,NE,GB,LAC,HOU,CLE,MIN,SEA,TEN,KC,BAL
Practice Squad QB-2,18,BAL,ARI,NE,LAR,NO,MIA,BUF,TB,PIT,GB,LAC,HOU,CLE,MIN,SEA,TEN,KC,IND
PRESENCE-5,18,LV,SF,TB,BUF,LAR,MIA,LAC,KC,NE,NO,PIT,HOU,NYG,MIN,SEA,BAL,CHI,IND
Rip Wheeler-1,18,NE,TB,CLE,LAR,PIT,MIA,LAC,PHI,TEN,NO,KC,HOU,GB,MIN,SEA,ARI,BAL,IND
ROBERTRUTTER-1,18,BUF,TB,IND,LAR,ARI,MIA,LAC,PHI,KC,GB,PIT,HOU,NYG,MIN,SEA,TEN,CHI,BAL
SHAMWOW.-1,18,PIT,TB,IND,LAR,ARI,BAL,BUF,KC,NE,GB,LAC,HOU,CLE,MIA,SEA,TEN,CHI,NO
Slick Rick11-1,18,BUF,PIT,IND,LAR,ARI,MIA,PHI,TB,NE,GB,LAC,HOU,CLE,KC,SEA,TEN,NO,BAL
Staying Alive-4,18,PIT,TB,NE,LAR,ARI,IND,NO,PHI,KC,GB,LAC,HOU,CLE,MIA,SEA,TEN,CHI,BAL
Sting-4,18,NE,TB,IND,LAR,BAL,MIA,BUF,PHI,PIT,GB,LAC,WAS,CLE,MIN,SEA,TEN,KC,NO
Texas Bound.-1,18,KC,SF,IND,LAR,ARI,MIA,BUF,TB,PIT,GB,LAC,HOU,CLE,LV,SEA,TEN,BAL,NO
THAWK-1,18,BUF,ARI,CLE,TB,PIT,IND,LAR,KC,NE,NO,LAC,HOU,GB,MIA,SEA,TEN,BAL,MIN
TIM'S SUNSCREEN-1,18,NE,TEN,IND,LAR,NO,MIA,BUF,TB,HOU,PIT,LAC,WAS,GB,MIN,SEA,BAL,KC,CLE
TIM'S SUNSCREEN-2,18,BUF,ARI,CLE,TB,LAR,IND,LAC,PHI,NE,NO,PIT,HOU,MIA,KC,SEA,TEN,CHI,BAL
WHAT IS FOOTBALL?-1,18,BUF,TEN,CLE,LAR,PIT,MIA,LAC,PHI,NE,NO,KC,HOU,GB,MIN,SEA,BAL,TB,IND
WHERE'S LUNCH-2,18,BUF,TB,IND,LAR,NO,MIA,LAC,KC,NE,GB,PIT,HOU,CLE,MIN,SEA,TEN,CHI,BAL
@plastered in paris-1,16,BUF,ARI,IND,LAR,DAL,MIA,NO,PHI,PIT,GB,KC,HOU,NYG,MIN,SEA,TEN,CLE,ELIMINATED
Accorsi-1,16,KC,TEN,NE,TB,BAL,IND,LAR,BUF,PIT,GB,NO,WAS,MIN,MIA,DAL,ARI,HOU,ELIMINATED
Anonymous Donors-1,16,BAL,TB,IND,LAR,NO,MIA,BUF,PHI,PIT,LV,LAC,HOU,GB,KC,SEA,TEN,CLE,ELIMINATED
BLOW OUT-1,16,NE,TEN,IND,LAR,BAL,MIA,BUF,PHI,KC,GB,PIT,WAS,CLE,MIN,SEA,ARI,HOU,ELIMINATED
BullsBearsSheep-1,16,LAC,TB,NE,LAR,BAL,IND,BUF,PHI,KC,GB,PIT,HOU,NO,MIA,SEA,TEN,CLE,ELIMINATED
DR B-2,16,BAL,SF,IND,LAR,SEA,MIA,BUF,TB,KC,NO,PIT,WAS,GB,MIN,TEN,ARI,CLE,ELIMINATED
HMA-1,16,BUF,SF,IND,LAR,BAL,MIA,NO,KC,PIT,GB,LAC,WAS,NYG,MIN,SEA,TEN,HOU,ELIMINATED
Jimmy Wiseguy-1,16,NE,SF,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,MIN,SEA,ARI,CLE,ELIMINATED
LOGICIANS-2,16,NE,TB,CLE,BAL,NO,IND,LAR,KC,PIT,GB,LAC,HOU,MIA,MIN,SEA,TEN,ARI,ELIMINATED
