"EntryName","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"#1 DRAFTER-1","COMMANDERS PK","RAMS PK","SEAHAWKS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#GBLOGBD-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#GBLOGBD-2","BRONCOS PK","RAVENS PK","SEAHAWKS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#GBLOGBD-3","COMMANDERS PK","CARDINALS PK","BUCS PK","TEXANS PK","COLTS PK","PACKERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"#PAKEBS-1","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-2","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","LIONS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-3","STEELERS PK","CARDINALS PK","BUCS PK","BRONCOS PK","COLTS PK","BILLS PK","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-4","BRONCOS PK","CARDINALS PK","BILLS PK","TEXANS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"#PAKEBS-5","JAGUARS PK","CARDINALS PK","SEAHAWKS PK","PATRIOTS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"#PAKEBS-6","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","SAINTS PK","RAIDERS PK","BROWNS PK","COLTS PK","ALIVE"
"$$ SLUSHY $$-1","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","LIONS PK","RAIDERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"$$ SLUSHY $$-2","BRONCOS PK","COWBOYS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$$$ChangesEverything-1","CARDINALS PK","LIONS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$$$ChangesEverything-2","BRONCOS PK","STEELERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$$$ChangesEverything-3","BRONCOS PK","RAVENS PK","BILLS PK","LIONS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$1000-DONATION-1","COMMANDERS PK","PACKERS PK","BILLS PK","BRONCOS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$MONEY-1","EAGLES PK","COWBOYS PK","BILLS PK","TEXANS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$MONEY-2","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","RAMS PK","CHIEFS PK","PATRIOTS PK","ALIVE"
"$P-1","COMMANDERS PK","LIONS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"$P-2","BENGALS PK","BILLS PK","CHIEFS PK","BRONCOS PK","LIONS PK","PACKERS PK","49ERS PK","COLTS PK","ALIVE"
"$P-3","BRONCOS PK","RAVENS PK","CHIEFS PK","BILLS PK","LIONS PK","PACKERS PK","PATRIOTS PK","BENGALS PK","ELIMINATED"
"$P-4","BRONCOS PK","RAVENS PK","CHIEFS PK","BILLS PK","LIONS PK","PACKERS PK","PATRIOTS PK","COLTS PK","ALIVE"
"$TRICTLY BU$INE$$-1","CARDINALS PK","CHARGERS PK","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-1","JAGUARS PK","STEELERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-10","COWBOYS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-2","BRONCOS PK","COWBOYS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-3","CARDINALS PK","LIONS PK","SEAHAWKS PK","TEXANS PK","COLTS PK","PACKERS PK","PATRIOTS PK","FALCONS PK","ELIMINATED"
"*NOODLE_KING-4","BRONCOS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-5","BRONCOS PK","RAVENS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-6","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-7","DOLPHINS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-8","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"*NOODLE_KING-9","SEAHAWKS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"--SMPLUCKYSCHU-1","COMMANDERS PK","ELIMINATED","SEAHAWKS PK","TEXANS PK","COLTS PK","STEELERS PK","BEARS PK","FALCONS PK","ELIMINATED"
"--SMPLUCKYSCHU-1-1","ELIMINATED","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"--SMPLUCKYSCHU-2","BRONCOS PK","ELIMINATED","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"--SMPLUCKYSCHU-2-2","ELIMINATED","RAVENS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"...AND DRANG-1","CARDINALS PK","RAMS PK","SEAHAWKS PK","BILLS PK","COLTS PK","PACKERS PK","PATRIOTS PK","FALCONS PK","ELIMINATED"
"...AND DRANG-2","PATRIOTS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"...AND DRANG-3","CARDINALS PK","BRONCOS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"...AND DRANG-4","BRONCOS PK","CARDINALS PK","BILLS PK","CHARGERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-2","COMMANDERS PK","BILLS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-3","COMMANDERS PK","BILLS PK","SEAHAWKS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-4","BRONCOS PK","LIONS PK","BUCS PK","BILLS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-5","CARDINALS PK","RAVENS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
".KAYDAWG-6","BENGALS PK","BILLS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"01CORONABANGERSPRIME-1","JAGUARS PK","RAVENS PK","BILLS PK","TEXANS PK","CARDINALS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 CUNADOS-1","BRONCOS PK","CARDINALS PK","SEAHAWKS PK","BILLS PK","RAMS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 DOUBLE NICKEL-1","BRONCOS PK","RAMS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 DOUBLE NICKEL-2","CARDINALS PK","COWBOYS PK","SEAHAWKS PK","BILLS PK","LIONS PK","RAMS PK","PATRIOTS PK","COLTS PK","ALIVE"
"1 DOUBLE NICKEL-3","BENGALS PK","CARDINALS PK","COLTS PK","PACKERS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1 KENZOS FINEST-1","BRONCOS PK","CARDINALS PK","FALCONS PK","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED","ELIMINATED"
"1-1","BRONCOS PK","RAVENS PK","BILLS PK","TEXANS PK","COLTS PK","PACKERS PK","CHIEFS PK","PATRIOTS PK","ALIVE"
