Week,Date,Time,Away Team,Home Team,Away Team Weekly Rest,Home Team Weekly Rest,Weekly Away Rest Advantage,Weekly Home Rest Advantage,Away Cumulative Rest Advantage,Home Cumulative Rest Advantage,Actual Stadium,Back to Back Away Games,Away Team Current Week Cumulative Rest Advantage,Home Team Current Week Cumulative Rest Advantage,Away Team Division,Away Stadium,Away Stadium Latitude,Away Stadium Longitude,Away Stadium TimeZone,Home Team Division,Home Stadium,Home Stadium Latitude,Home Stadium Longitude,Home Stadium TimeZone,Actual Stadium Latitude,Actual Stadium Longitude,Actual Stadium TimeZone,Away Travel Distance,Home Travel Distance,Away Travel Advantage,Home Travel Advantage,Away Timezone Change,Home Timezone Change,Away Previous Game Actual Stadium TimeZone,Home Previous Game Actual Stadium TimeZone,Away Weekly Timezone Difference,Home Weekly Timezone Difference,Adjusted Away Timezone Change,Adjusted Home Timezone Change,Away Timezone Advantage,Home Timezone Advantage,Away Team Preseason Rank,Home Team Preseason Rank,Preseason Winner,Preseason Difference,Away Team Adjusted Preseason Rank,Home Team Adjusted Preseason Rank,Adjusted Preseason Winner,Adjusted Preseason Difference,Away Team Current Rank,Home Team Current Rank,Current Winner,Current Difference,Away Team Adjusted Current Rank,Home Team Adjusted Current Rank,Adjusted Current Winner,Adjusted Current Difference,Same Winner?,Home Team Winner?,Divisional Matchup?,Home Team 3 games in 10 days,Away Team 3 games in 10 days,Home Team 4 games in 17 days,Away Team 4 games in 17 days,Away Team Short Rest,Away Team Spread,Home Team Spread,Away Team Moneyline,Home Team Moneyline,Away Team Implied Odds to Win,Home team Implied Odds to Win,Away Team Fair Odds,Home Team Fair Odds,Away Team Expected Win Advantage,Home Team Expected Win Advantage,Away Team Cumulative Win Percentage,Home Team Cumulative Win Percentage,Away Team Star Rating,Home Team Star Rating,Away Team Thanksgiving Favorite,Home Team Thanksgiving Favorite,Away Team Christmas Favorite,Home Team Christmas Favorite,Divisional Matchup Boolean,Adjusted Home Points,Adjusted Away Points,Spread,Favorite,Underdog,Adjusted Spread,Away Pick %,Away Away Matchup,Away Divisional Matchup Boolean,Home Pick %,Home Away Matchup,Home Divisional Matchup Boolean,Home Team EV,Away Team EV
Week 1,2024-09-05,8:20 pm,Baltimore Ravens,Kansas City Chiefs,,,,,,,Arrowhead Stadium,False,0.0,0.0,AFC North,M&T Stadium,39.277969,-76.622767,America/New_York,AFC West,Arrowhead Stadium,39.048786,-94.484566,America/Chicago,39.048786,-94.484566,America/Chicago,955,0,-955,955,1.0,0.0,,,,,1.0,0.0,1.0,0.0,3,1,Kansas City Chiefs,2,3.5,-0.5,Kansas City Chiefs,4.0,3.0,1.0,Kansas City Chiefs,2.0,3.5,-0.5,Kansas City Chiefs,4.0,Same,Home Team,0,No,No,No,No,No,3.0,-3.0,171,-211,0.369,0.6785,0.3523,0.6477,-0.083,0.083,0.126425,0.147225,4.5,5.0,False,True,True,True,0,6.0,2.0,2.0,Kansas City Chiefs,Baltimore Ravens,4.0,0.0001217005989356,1,0,0.0003035334997053,0,0,0.0,0.0
Week 1,2024-09-06,8:15 pm,Green Bay Packers,Philadelphia Eagles,,,,,,,"London, UK",False,0.0,0.0,NFC North,Lambeau Field,44.501306,-88.062167,America/Chicago,NFC East,Lincoln Financial Field,39.900775,-75.167453,America/New_York,51.555973,-0.279672,Europe/London,3833,3534,-299,299,-6.0,-5.0,,,,,-6.0,-5.0,-1.0,1.0,10,8,Philadelphia Eagles,2,11.0,7.0,Philadelphia Eagles,4.0,12.0,4.0,Philadelphia Eagles,8.0,13.0,3.0,Philadelphia Eagles,10.0,Same,Home Team,0,No,No,No,No,No,1.5,-1.5,314,-416,0.2415,0.8062,0.2305,0.7695,-0.0325,0.0325,0.0539437499999999,0.07155625,3.5,3.5,True,False,False,False,0,4.0,-5.0,7.0,Philadelphia Eagles,Green Bay Packers,9.0,5.815780834094264e-05,1,0,0.1827820936416103,0,0,0.0,0.0
Week 1,2024-09-08,1:00 pm,Arizona Cardinals,Buffalo Bills,,,,,,,Highmark Stadium,False,0.0,0.0,NFC West,State Farm Stadium,33.5277,-112.262608,America/Denver,AFC East,Highmark Stadium,42.773739,-78.786978,America/New_York,42.773739,-78.786978,America/New_York,1912,0,-1912,1912,-2.0,0.0,,,,,-2.0,0.0,-2.0,0.0,26,5,Buffalo Bills,21,29.5,3.5,Buffalo Bills,26.0,24.0,7.0,Buffalo Bills,17.0,27.5,5.5,Buffalo Bills,22.0,Same,Home Team,0,No,No,No,No,No,7.0,-7.0,208,-261,0.3247,0.723,0.3099,0.6901,-0.2478,0.2478,-0.0645999999999999,0.04586875,1.5,3.5,False,False,False,False,0,4.5,-1.5,4.0,Buffalo Bills,Arizona Cardinals,6.0,3.087389825506831e-05,1,0,0.0282862347827132,0,0,0.0,0.0
Week 1,2024-09-08,1:00 pm,Carolina Panthers,New Orleans Saints,,,,,,,Caesars Superdome,False,0.0,0.0,NFC South,Bank of America Stadium,35.225808,-80.852861,America/New_York,NFC South,Caesars Superdome,29.950931,-90.081364,America/Chicago,29.950931,-90.081364,America/Chicago,648,0,-648,648,1.0,0.0,,,,,1.0,0.0,1.0,0.0,32,23,New Orleans Saints,9,32.5,21.5,New Orleans Saints,11.0,32.0,16.0,New Orleans Saints,16.0,32.5,14.5,New Orleans Saints,18.0,Same,Home Team,1,No,No,No,No,No,4.5,-4.5,406,-567,0.1976,0.8501,0.1886,0.8114,-0.1575,0.1575,-0.12466875,-0.04669375,0.5,2.0,False,False,False,False,1,3.0,-8.0,9.0,New Orleans Saints,Carolina Panthers,11.0,0.0001048276545404,1,1,0.249135126975189,0,1,0.0,0.0
Week 1,2024-09-08,1:00 pm,Houston Texans,Indianapolis Colts,,,,,,,Lucas Oil Stadium,False,0.0,0.0,AFC South,NRG Stadium,29.684781,-95.410956,America/Chicago,AFC South,Lucas Oil Stadium,39.760056,-86.163806,America/New_York,39.760056,-86.163806,America/New_York,870,0,-870,870,-1.0,0.0,,,,,-1.0,0.0,-1.0,0.0,7,20,Houston Texans,13,9.5,18.5,Houston Texans,9.0,8.0,19.0,Houston Texans,11.0,10.5,17.5,Houston Texans,7.0,Same,Away Team,1,No,No,No,No,No,-1.5,1.5,-191,156,0.6564,0.3906,0.6269,0.3731,0.0261,-0.0261,0.0388187499999999,0.0025499999999999,3.0,2.5,False,False,False,False,1,-1.0,2.5,5.5,Houston Texans,Indianapolis Colts,3.5,0.0075648230701255,1,1,0.0002254512570253,0,1,0.0,0.0
Week 1,2024-09-08,1:00 pm,Jacksonville Jaguars,Miami Dolphins,,,,,,,Hard Rock Stadium,False,0.0,0.0,AFC South,Everbank Stadium,30.323925,-81.637356,America/New_York,AFC East,Hard Rock Stadium,25.957919,-80.238842,America/New_York,25.957919,-80.238842,America/New_York,313,0,-313,313,0.0,0.0,,,,,0.0,0.0,0.0,0.0,18,12,Miami Dolphins,6,19.5,10.5,Miami Dolphins,9.0,17.0,11.0,Miami Dolphins,6.0,18.5,9.5,Miami Dolphins,9.0,Same,Home Team,0,No,No,No,No,No,3.5,-3.5,-128,105,0.5614,0.4878,0.5351,0.4649,-0.1164,0.1164,0.000775,0.04145,2.5,3.0,False,False,False,False,0,-3.0,-1.5,3.5,Jacksonville Jaguars,Miami Dolphins,1.5,0.001184696095834,1,0,0.0005815780834094,0,0,0.0,0.0
Week 1,2024-09-08,1:00 pm,Minnesota Vikings,New York Giants,,,,,,,MetLife Stadium,False,0.0,0.0,NFC North,U.S Bank Stadium,44.973881,-93.258094,America/Chicago,NFC East,MetLife Stadium,40.812194,-74.076983,America/New_York,40.812194,-74.076983,America/New_York,1009,0,-1009,1009,-1.0,0.0,,,,,-1.0,0.0,-1.0,0.0,24,27,Minnesota Vikings,3,26.5,25.5,New York Giants,1.0,22.0,31.0,Minnesota Vikings,9.0,24.5,29.5,Minnesota Vikings,5.0,Different,Away Team,0,No,No,No,No,No,1.0,-1.0,-191,156,0.6564,0.3906,0.6269,0.3731,-0.0043,0.0043,-0.07445625,-0.10738125,1.5,1.0,False,False,False,False,0,-4.0,-0.5,5.5,Minnesota Vikings,New York Giants,3.5,0.01861767864544,1,0,0.0002685311150557,0,0,0.0,0.0
Week 1,2024-09-08,1:00 pm,New England Patriots,Cincinnati Bengals,,,,,,,Paycor Stadium,False,0.0,0.0,AFC East,Gillette Stadium,42.090925,-71.26435,America/New_York,AFC North,Paycor Stadium,39.095442,-84.516039,America/New_York,39.095442,-84.516039,America/New_York,724,0,-724,724,0.0,0.0,,,,,0.0,0.0,0.0,0.0,31,6,Cincinnati Bengals,25,32.5,4.5,Cincinnati Bengals,28.0,27.0,11.0,Cincinnati Bengals,16.0,28.5,9.5,Cincinnati Bengals,19.0,Same,Home Team,0,No,No,No,No,No,8.5,-8.5,302,-397,0.2488,0.7988,0.2375,0.7625,-0.2715,0.2715,-0.153075,0.0870312499999999,0.0,4.0,False,False,False,False,0,3.0,-5.5,6.5,Cincinnati Bengals,New England Patriots,8.5,0.0001952953564041,1,0,0.1730546616983624,0,0,0.0,0.0
Week 1,2024-09-08,1:00 pm,Pittsburgh Steelers,Atlanta Falcons,,,,,,,Mercedez-Benz Stadium,False,0.0,0.0,AFC North,Acrisure Stadium,40.446786,-80.015761,America/New_York,NFC South,Mercedez-Benz Stadium,33.757614,-84.400972,America/New_York,33.757614,-84.400972,America/New_York,521,0,-521,521,0.0,0.0,,,,,0.0,0.0,0.0,0.0,19,13,Atlanta Falcons,6,20.5,11.5,Atlanta Falcons,9.0,16.0,18.0,Pittsburgh Steelers,2.0,17.5,16.5,Atlanta Falcons,1.0,Different,Home Team,0,No,No,No,No,No,2.5,-2.5,117,-142,0.4608,0.5868,0.4399,0.5601,-0.0721,0.0721,-0.03156875,0.0553,2.0,3.5,False,False,False,False,0,1.0,-0.5,0.5,Atlanta Falcons,Pittsburgh Steelers,2.5,0.0001924233658687,1,0,0.0009692968056823,0,0,0.0,0.0
Week 1,2024-09-08,1:00 pm,Tennessee Titans,Chicago Bears,,,,,,,Soldier Field,False,0.0,0.0,AFC South,Nissan Stadium,36.166461,-86.771289,America/Chicago,NFC North,Soldier Field,41.862306,-87.616672,America/Chicago,41.862306,-87.616672,America/Chicago,396,0,-396,396,0.0,0.0,,,,,0.0,0.0,0.0,0.0,20,15,Chicago Bears,5,21.5,13.5,Chicago Bears,8.0,24.0,19.0,Chicago Bears,5.0,25.5,17.5,Chicago Bears,8.0,Same,Home Team,0,No,No,No,No,No,4.5,-4.5,117,-142,0.4608,0.5868,0.4399,0.5601,-0.1575,0.1575,-0.1078187499999999,0.0019374999999999,1.0,2.5,False,False,False,True,0,-1.0,-3.5,0.5,Chicago Bears,Tennessee Titans,2.5,0.0001967313516718,1,0,0.0015681068323039,0,0,0.0,0.0
Week 1,2024-09-08,4:05 pm,Denver Broncos,Seattle Seahawks,,,,,,,Lumen Field,False,0.0,0.0,AFC West,Empower Field at Mile High,39.743936,-105.020097,America/Denver,NFC West,Lumen Field,47.595153,-122.331625,America/Los_Angeles,47.595153,-122.331625,America/Los_Angeles,1017,0,-1017,1017,1.0,0.0,,,,,1.0,0.0,1.0,0.0,29,22,Seattle Seahawks,7,29.5,20.5,Seattle Seahawks,9.0,29.0,19.0,Seattle Seahawks,10.0,29.5,17.5,Seattle Seahawks,12.0,Same,Home Team,0,No,No,No,No,No,4.5,-4.5,282,-366,0.2618,0.7854,0.25,0.75,-0.1447,0.1447,-0.119,-0.05905,0.5,1.5,False,False,False,False,0,1.5,-6.5,6.0,Seattle Seahawks,Denver Broncos,8.0,4.3079858030327885e-05,1,0,0.1074871177762033,0,0,0.0,0.0
Week 1,2024-09-08,4:05 pm,Las Vegas Raiders,Los Angeles Chargers,,,,,,,SoFi Stadium,False,0.0,0.0,AFC West,Allegiant Stadium,36.090794,-115.183952,America/Los_Angeles,AFC West,SoFi Stadium,33.953587,-118.33963,America/Los_Angeles,33.953587,-118.33963,America/Los_Angeles,232,0,-232,232,0.0,0.0,,,,,0.0,0.0,0.0,0.0,28,14,Los Angeles Chargers,14,29.5,12.5,Los Angeles Chargers,17.0,26.0,17.0,Los Angeles Chargers,9.0,27.5,15.5,Los Angeles Chargers,12.0,Same,Home Team,1,No,No,No,No,No,3.0,-3.0,224,-282,0.3086,0.7382,0.2948,0.7052,-0.1038,0.1038,-0.0770874999999999,0.0034562499999999,1.5,2.5,False,False,False,False,1,2.5,-4.0,4.5,Los Angeles Chargers,Las Vegas Raiders,6.5,8.615971606065574e-05,1,1,0.1380192491575644,0,1,0.0,0.0
Week 1,2024-09-08,4:25 pm,Dallas Cowboys,Cleveland Browns,,,,,,,Cleveland Browns Stadium,False,0.0,0.0,NFC East,AT&T Stadium,32.747778,-97.092778,America/Chicago,AFC North,Cleveland Browns Stadium,41.506022,-81.699564,America/New_York,41.506022,-81.699564,America/New_York,1038,0,-1038,1038,-1.0,0.0,,,,,-1.0,0.0,-1.0,0.0,9,17,Dallas Cowboys,8,11.5,15.5,Dallas Cowboys,4.0,6.0,20.0,Dallas Cowboys,14.0,8.5,18.5,Dallas Cowboys,10.0,Same,Away Team,0,No,No,No,No,No,1.0,-1.0,156,-191,0.3906,0.6564,0.3731,0.6269,-0.0043,0.0043,0.0650625,0.01688125,3.5,3.0,True,False,False,False,0,1.0,0.5,1.5,Cleveland Browns,Dallas Cowboys,3.5,8.687771369449456e-05,1,0,0.0033171490683352,0,0,0.0,0.0
Week 1,2024-09-08,4:25 pm,Washington Commanders,Tampa Bay Buccaneers,,,,,,,Raymomd James Stadium,False,0.0,0.0,NFC East,FedExField,38.907697,-76.864517,America/New_York,NFC South,Raymomd James Stadium,27.975967,-82.50335,America/New_York,27.975967,-82.50335,America/New_York,821,0,-821,821,0.0,0.0,,,,,0.0,0.0,0.0,0.0,25,21,Tampa Bay Buccaneers,4,26.5,19.5,Tampa Bay Buccaneers,7.0,28.0,21.0,Tampa Bay Buccaneers,7.0,29.5,19.5,Tampa Bay Buccaneers,10.0,Same,Home Team,0,No,No,No,No,No,3.5,-3.5,195,-244,0.339,0.7093,0.3234,0.6766,-0.1225,0.1225,-0.07601875,-0.03960625,1.5,2.0,False,False,False,False,0,1.0,-4.5,3.5,Tampa Bay Buccaneers,Washington Commanders,5.5,7.1799763383879794e-06,1,0,0.0336353171548123,0,0,0.0,0.0
Week 1,2024-09-08,8:20 pm,Los Angeles Rams,Detroit Lions,,,,,,,Ford Field,False,0.0,0.0,NFC West,SoFi Stadium,33.953587,-118.33963,America/Los_Angeles,NFC North,Ford Field,42.340156,-83.045808,America/New_York,42.340156,-83.045808,America/New_York,1986,0,-1986,1986,-3.0,0.0,,,,,-3.0,0.0,-3.0,0.0,16,4,Detroit Lions,12,20.5,2.5,Detroit Lions,18.0,15.0,5.0,Detroit Lions,10.0,19.5,3.5,Detroit Lions,16.0,Same,Home Team,0,No,No,No,No,No,3.0,-3.0,302,-397,0.2488,0.7988,0.2375,0.7625,-0.0996,0.0996,0.0256875,0.0657687499999999,3.0,3.5,False,True,False,False,0,4.0,-4.5,6.5,Detroit Lions,Los Angeles Rams,8.5,5.456782017174865e-05,1,0,0.0408217554719048,0,0,0.0,0.0
Week 1,2024-09-09,8:15 pm,New York Jets,San Francisco 49ers,,,,,,,Levi's Stadium,False,0.0,0.0,AFC East,MetLife Stadium,40.812194,-74.076983,America/New_York,NFC West,Levi's Stadium,37.713486,-122.386256,America/Los_Angeles,37.713486,-122.386256,America/Los_Angeles,2559,0,-2559,2559,3.0,0.0,,,,,3.0,0.0,3.0,0.0,11,2,San Francisco 49ers,9,9.5,0.5,San Francisco 49ers,9.0,13.0,1.5,San Francisco 49ers,11.5,11.5,0.0,San Francisco 49ers,11.5,Same,Home Team,0,No,No,No,No,No,5.5,-5.5,195,-244,0.339,0.7093,0.3234,0.6766,-0.1806,0.1806,0.0837812499999999,0.1475062499999999,4.0,5.0,False,False,False,False,0,5.5,0.0,3.5,San Francisco 49ers,New York Jets,5.5,0.0002656591245203,1,0,0.01073406462589,0,0,0.0,0.0
Week 2,2024-09-12,8:15 pm,Buffalo Bills,Miami Dolphins,4.0,4.0,0.0,0.0,0.0,0.0,Hard Rock Stadium,False,0.0,0.0,AFC East,Highmark Stadium,42.773739,-78.786978,America/New_York,AFC East,Hard Rock Stadium,25.957919,-80.238842,America/New_York,25.957919,-80.238842,America/New_York,1164,0,-1164,1164,0.0,0.0,America/New_York,America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,5,12,Buffalo Bills,7,6.5,10.5,Buffalo Bills,4.0,7.0,11.0,Buffalo Bills,4.0,8.5,9.5,Buffalo Bills,1.0,Same,Away Team,1,No,No,No,No,No,1.0,-1.0,-244,195,0.7093,0.339,0.6766,0.3234,-0.0108,0.0108,0.0496466666666666,0.0434933333333333,3.5,3.5,False,False,False,False,1,-3.0,2.5,7.5,Buffalo Bills,Miami Dolphins,5.5,0.0779052892006636,1,1,0.0014280628140122,0,1,0.0,0.0
Week 2,2024-09-15,1:00 pm,Cleveland Browns,Jacksonville Jaguars,7.0,7.0,0.0,0.0,0.0,0.0,Everbank Stadium,False,0.0,0.0,AFC North,Cleveland Browns Stadium,41.506022,-81.699564,America/New_York,AFC South,Everbank Stadium,30.323925,-81.637356,America/New_York,30.323925,-81.637356,America/New_York,772,0,-772,772,0.0,0.0,America/New_York,America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,17,18,Cleveland Browns,1,18.5,16.5,Jacksonville Jaguars,2.0,20.0,17.0,Jacksonville Jaguars,3.0,21.5,15.5,Jacksonville Jaguars,6.0,Different,Home Team,0,No,No,No,No,No,1.0,-1.0,117,-142,0.4608,0.5868,0.4399,0.5601,-0.0108,0.0108,0.0187266666666666,0.0001066666666666,3.0,2.5,False,False,False,False,0,0.5,-1.0,0.5,Jacksonville Jaguars,Cleveland Browns,2.5,0.0006337028737179,1,0,0.0193100868632222,0,0,0.0,0.0
Week 2,2024-09-15,1:00 pm,Indianapolis Colts,Green Bay Packers,7.0,9.0,-2.0,2.0,-2.0,2.0,Lambeau Field,False,-4.0,4.0,AFC South,Lucas Oil Stadium,39.760056,-86.163806,America/New_York,NFC North,Lambeau Field,44.501306,-88.062167,America/Chicago,44.501306,-88.062167,America/Chicago,341,0,-341,341,1.0,0.0,America/New_York,Europe/London,1.0,6.0,1.0,0.0,1.0,0.0,20,10,Green Bay Packers,10,23.0,6.0,Green Bay Packers,17.0,19.0,12.0,Green Bay Packers,7.0,22.0,8.0,Green Bay Packers,14.0,Same,Home Team,0,No,No,No,No,No,4.0,-4.0,-110,-110,0.5238,0.5238,0.5,0.5,-0.1309,0.1309,0.0114466666666666,0.0488133333333333,3.0,3.5,False,True,False,False,0,-3.0,-3.0,2.0,Indianapolis Colts,Indianapolis Colts,0.0,0.0023027512875948,1,0,0.0005377549034014,0,0,0.0,0.0
Week 2,2024-09-15,1:00 pm,Las Vegas Raiders,Baltimore Ravens,7.0,10.0,-3.0,3.0,-3.0,3.0,M&T Stadium,True,-6.0,6.0,AFC West,Allegiant Stadium,36.090794,-115.183952,America/Los_Angeles,AFC North,M&T Stadium,39.277969,-76.622767,America/New_York,39.277969,-76.622767,America/New_York,2103,0,-2103,2103,-3.0,0.0,America/Los_Angeles,America/Chicago,-3.0,-1.0,-3.0,0.0,-3.0,0.0,28,3,Baltimore Ravens,25,36.25,-2.25,Baltimore Ravens,38.5,26.0,3.0,Baltimore Ravens,23.0,34.25,-2.25,Baltimore Ravens,36.5,Same,Home Team,0,No,No,No,No,No,7.0,-7.0,282,-366,0.2618,0.7854,0.25,0.75,-0.2409,0.2409,-0.0661666666666666,0.1187933333333333,1.5,4.5,False,False,False,True,0,4.0,-4.0,6.0,Baltimore Ravens,Las Vegas Raiders,8.0,7.437827156313954e-06,1,0,0.0612516223063188,0,0,0.0,0.0
