EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week
1.09,80.5%,27.7%,LAC,ARI,2.0,2026,Week 1
1.06,77.2%,22.6%,JAX,CLE,1.0,2026,Week 1
1.04,72.9%,13.7%,DET,NO,3.5,2026,Week 1
1.00,66.9%,3.4%,PHI,WSH,2.0,2026,Week 1
0.99,64.8%,1.2%,CIN,TB,2.0,2026,Week 1
0.98,64.6%,2.1%,LAR,(n),5.0,2026,Week 1
0.94,61.7%,1.6%,BAL,IND,3.5,2026,Week 1
0.93,61.8%,2.7%,SEA,NE,4.0,2026,Week 1
0.93,62.3%,4.5%,PIT,ATL,0.5,2026,Week 1
0.92,62.3%,5.5%,LV,MIA,0.0,2026,Week 1
0.90,60.3%,3.2%,CHI,CAR,2.0,2026,Week 1
0.90,59.3%,1.7%,DAL,NYG,2.0,2026,Week 1
0.88,57.1%,0.5%,KC,DEN,3.5,2026,Week 1
0.81,52.7%,0.3%,MIN,GB,1.5,2026,Week 1
0.79,52.8%,3.2%,TEN,NYJ,0.0,2026,Week 1
0.79,52.2%,1.2%,BUF,HOU,3.0,2026,Week 1
0.74,47.8%,0.2%,HOU,BUF,1.5,2026,Week 1
0.74,47.2%,0.8%,NYJ,TEN,0.5,2026,Week 1
0.72,47.3%,0.5%,GB,MIN,3.0,2026,Week 1
0.66,42.9%,0.7%,DEN,KC,2.0,2026,Week 1
0.63,40.7%,0.3%,NYG,DAL,1.0,2026,Week 1
0.63,39.7%,0.2%,CAR,CHI,0.0,2026,Week 1
0.61,37.7%,0.3%,MIA,LV,0.0,2026,Week 1
0.61,37.7%,0.2%,ATL,PIT,0.0,2026,Week 1
0.60,38.2%,0.5%,NE,SEA,3.0,2026,Week 1
0.60,38.3%,0.2%,IND,BAL,1.0,2026,Week 1
0.55,35.4%,0.3%,SF,(n),4.5,2026,Week 1
0.54,35.2%,0.3%,TB,CIN,1.5,2026,Week 1
0.53,33.1%,0.1%,WSH,PHI,0.5,2026,Week 1
0.49,27.1%,0.1%,NO,DET,0.5,2026,Week 1
0.47,22.8%,0.1%,CLE,JAX,0.0,2026,Week 1
0.44,19.5%,0.1%,ARI,LAC,0.0,2026,Week 1
