rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-10717,SYNTH-10717,0,32,0.001883,0.0,0.00176,6476.64,JAX 58%; LAC 28%; DET 4%
2,SYNTH-04285,SYNTH-04285,0,32,0.001883,0.0,0.00096,6025.07,JAX 51%; LAC 32%; DET 4%
3,SYNTH-20649,SYNTH-20649,0,32,0.001883,0.0,0.00056,5961.84,JAX 51%; LAC 25%; DET 5%
4,SYNTH-12352,SYNTH-12352,0,32,0.001883,0.0,0.00096,5820.47,JAX 51%; LAC 29%; DET 5%
5,SYNTH-05589,SYNTH-05589,0,32,0.001883,0.0,0.00112,5785.94,JAX 55%; LAC 28%; DET 4%
6,SYNTH-20158,SYNTH-20158,0,32,0.001883,0.0,0.00088,5760.86,JAX 55%; LAC 28%; DET 4%
7,SYNTH-17222,SYNTH-17222,0,32,0.001883,0.0,0.00072,5646.16,JAX 51%; LAC 30%; DET 4%
8,SYNTH-16461,SYNTH-16461,0,32,0.001883,0.0,0.00072,5441.62,JAX 58%; LAC 26%; DET 4%
9,SYNTH-09629,SYNTH-09629,0,32,0.001883,0.0,0.00152,5401.93,JAX 59%; LAC 27%; DET 4%
10,SYNTH-09022,SYNTH-09022,0,32,0.001883,0.0,0.00104,5297.25,JAX 55%; LAC 34%; DET 3%
11,SYNTH-00659,SYNTH-00659,0,32,0.001883,0.0,0.00152,5279.85,JAX 58%; LAC 29%; DET 4%
12,SYNTH-23242,SYNTH-23242,0,32,0.001883,0.0,0.0008,5275.14,JAX 58%; LAC 26%; DET 5%
13,SYNTH-21130,SYNTH-21130,0,32,0.001883,0.0,0.0012,5253.61,JAX 51%; LAC 29%; DET 4%
14,SYNTH-19576,SYNTH-19576,0,32,0.001883,0.0,0.00128,5243.41,JAX 59%; LAC 28%; DET 4%
15,SYNTH-08861,SYNTH-08861,0,32,0.001883,0.0,0.00144,5161.58,JAX 60%; LAC 30%; DET 3%
16,SYNTH-02181,SYNTH-02181,0,32,0.001883,0.0,0.00104,5131.9,JAX 59%; LAC 30%; DET 4%
17,SYNTH-02063,SYNTH-02063,0,32,0.001883,0.0,0.0008,5020.31,JAX 57%; LAC 28%; DET 4%
18,SYNTH-04277,SYNTH-04277,0,32,0.001883,0.0,0.00096,5016.55,JAX 60%; LAC 30%; DET 3%
19,SYNTH-20702,SYNTH-20702,0,32,0.001883,0.0,0.00072,4990.31,JAX 61%; LAC 29%; DET 3%
20,SYNTH-03418,SYNTH-03418,0,32,0.001883,0.0,0.0012,4983.69,JAX 57%; LAC 25%; DET 5%
21,SYNTH-08609,SYNTH-08609,0,32,0.001883,0.0,0.00064,4931.27,JAX 56%; LAC 28%; DET 4%
22,SYNTH-04691,SYNTH-04691,0,32,0.001883,0.0,0.00096,4918.27,JAX 58%; LAC 28%; DET 4%
23,SYNTH-13762,SYNTH-13762,0,32,0.001883,0.0,0.00072,4897.03,JAX 52%; LAC 35%; DET 3%
24,SYNTH-22816,SYNTH-22816,0,32,0.001883,0.0,0.0016,4856.87,JAX 56%; LAC 32%; DET 4%
25,SYNTH-21856,SYNTH-21856,0,32,0.001883,0.0,0.00088,4829.32,JAX 61%; LAC 25%; DET 4%
26,SYNTH-05354,SYNTH-05354,0,32,0.001883,0.0,0.00128,4812.81,JAX 61%; LAC 30%; DET 3%
27,SYNTH-02781,SYNTH-02781,0,32,0.001883,0.0,0.00096,4798.04,JAX 57%; LAC 32%; DET 4%
28,SYNTH-03782,SYNTH-03782,0,32,0.001883,0.0,0.00128,4783.94,JAX 55%; LAC 28%; DET 4%
29,SYNTH-22451,SYNTH-22451,0,32,0.001883,0.0,0.0012,4729.89,JAX 59%; LAC 26%; DET 4%
30,SYNTH-16082,SYNTH-16082,0,32,0.001883,0.0,0.00088,4707.47,JAX 57%; LAC 27%; DET 4%
31,SYNTH-01546,SYNTH-01546,0,32,0.001883,0.0,0.00088,4705.42,JAX 55%; LAC 26%; DET 5%
32,SYNTH-00476,SYNTH-00476,0,32,0.001883,0.0,0.00064,4701.48,JAX 54%; LAC 30%; DET 4%
33,SYNTH-14921,SYNTH-14921,0,32,0.001883,0.0,0.00096,4684.92,JAX 54%; LAC 29%; DET 4%
34,SYNTH-05024,SYNTH-05024,0,32,0.001883,0.0,0.00056,4650.37,JAX 55%; LAC 28%; DET 4%
35,SYNTH-01875,SYNTH-01875,0,32,0.001883,0.0,0.0012,4648.77,JAX 58%; LAC 27%; DET 4%
36,SYNTH-04115,SYNTH-04115,0,32,0.001883,0.0,0.00136,4607.14,JAX 63%; LAC 28%; DET 3%
