EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Date
1.13,68.0%,1.9%,NO (W),MIN,4.5,2010,Week 1
1.12,71.7%,10.7%,CHI (W),DET,1.0,2010,Week 1
1.12,71.7%,10.5%,NYG (W),CAR,3.0,2010,Week 1
1.10,66.5%,1.3%,NE (W),CIN,3.5,2010,Week 1
1.07,65.6%,3.6%,ARI (W),STL,0.5,2010,Week 1
1.04,63.1%,1.6%,DAL (L),WAS,2.5,2010,Week 1
1.00,60.0%,1.1%,TB (W),CLE,1.0,2010,Week 1
0.99,60.0%,1.7%,GB (W),PHI,4.0,2010,Week 1
0.98,66.5%,16.5%,SD (L),KC,5.0,2010,Week 1
0.96,60.0%,5.0%,SF (L),SEA,2.0,2010,Week 1
0.96,71.7%,32.6%,TEN (W),OAK,1.5,2010,Week 1
0.94,56.4%,0.4%,JAX (W),DEN,0.5,2010,Week 1
0.94,60.0%,8.1%,MIA (W),BUF,1.0,2010,Week 1
0.93,56.4%,1.7%,IND (L),HOU,3.5,2010,Week 1
0.92,55.3%,0.6%,ATL (L),PIT,3.0,2010,Week 1
0.91,54.2%,0.2%,NYJ (L),BAL,2.5,2010,Week 1
0.77,45.8%,0.2%,BAL (W),NYJ,4.0,2010,Week 1
0.75,44.7%,0.2%,PIT (W),ATL,3.5,2010,Week 1
0.74,43.6%,0.0%,HOU (W),IND,1.5,2010,Week 1
0.73,40.0%,0.1%,BUF (L),MIA,0.0,2010,Week 1
0.73,43.6%,0.3%,DEN (L),JAX,1.0,2010,Week 1
0.71,28.3%,0.1%,OAK (L),TEN,1.0,2010,Week 1
0.71,40.0%,0.1%,SEA (W),SF,0.5,2010,Week 1
0.69,33.5%,0.1%,KC (W),SD,2.0,2010,Week 1
0.68,40.0%,0.0%,PHI (L),GB,3.0,2010,Week 1
0.67,40.0%,0.7%,CLE (L),TB,0.5,2010,Week 1
0.63,36.9%,0.1%,WAS (W),DAL,0.5,2010,Week 1
0.60,34.4%,0.2%,STL (L),ARI,0.5,2010,Week 1
0.57,33.5%,0.1%,CIN (L),NE,1.0,2010,Week 1
0.55,28.3%,0.0%,CAR (L),NYG,0.5,2010,Week 1
0.55,28.3%,0.2%,DET (L),CHI,0.5,2010,Week 1
0.55,32.0%,0.2%,MIN (L),NO,1.5,2010,Week 1
1.13,74.1%,3.1%,SD (W),JAX,5.0,2010,Week 2
1.10,74.1%,7.2%,DAL (L),CHI,2.0,2010,Week 2
1.09,74.1%,8.5%,PHI (W),DET,2.5,2010,Week 2
1.07,71.7%,5.3%,ATL (W),ARI,3.0,2010,Week 2
1.05,69.3%,2.7%,MIN (L),MIA,1.5,2010,Week 2
1.05,68.0%,0.6%,TEN (L),PIT,1.5,2010,Week 2
1.03,66.5%,0.6%,IND (W),NYG,3.5,2010,Week 2
1.02,68.0%,5.0%,NO (W),SF,4.5,2010,Week 2
0.99,84.7%,57.3%,GB (W),BUF,3.5,2010,Week 2
0.98,63.1%,0.4%,DEN (W),SEA,1.0,2010,Week 2
0.96,63.1%,2.1%,OAK (W),STL,0.5,2010,Week 2
0.95,60.0%,0.1%,CLE (L),KC,0.5,2010,Week 2
0.93,60.0%,0.7%,NE (L),NYJ,3.5,2010,Week 2
0.92,60.0%,1.3%,CAR (L),TB,0.0,2010,Week 2
0.87,56.4%,0.6%,BAL (L),CIN,4.0,2010,Week 2
0.86,56.4%,1.3%,HOU (W),WAS,1.5,2010,Week 2
0.69,43.6%,0.1%,WAS (L),HOU,0.5,2010,Week 2
0.68,43.6%,0.1%,CIN (W),BAL,1.0,2010,Week 2
