Week,Date,Matchup,Wind,Weather_Source,Spread_Mean,Spread_Median,Spread_Std,Spread_Variance,Spread_Variance_Label,Spread_25th,Spread_75th,Total_Mean,Total_Median,Total_Std,Total_10th_Floor,Total_90th_Ceiling,Home_Win_Pct,Away_Win_Pct,Prob_Land_3,Prob_Land_7
1,2025-09-04,DAL @ PHI,10,Historical Avg,-0.0,1.0,13.26,175.92,Medium,-10.0,9.0,49.41,49.0,13.020674674108442,33.0,66.0,0.494,0.506,0.098,0.08
1,2025-09-05,KC @ LAC,0,Dome,0.59,1.0,13.24,175.25,Medium,-9.0,10.0,40.86,40.0,12.01096925241183,26.0,56.10000000000002,0.49,0.509,0.111,0.092
1,2025-09-07,TB @ ATL,0,Dome,-1.86,-3.0,12.91,166.71,Med-Low,-11.0,7.0,46.9,46.0,12.986463885301658,31.0,64.0,0.548,0.45,0.102,0.087
1,2025-09-07,CIN @ CLE,10,Historical Avg,6.55,7.0,13.57,184.09,Med-High,-3.25,16.25,40.97,40.0,11.989864755569885,26.0,57.0,0.313,0.685,0.077,0.072
1,2025-09-07,MIA @ IND,0,Dome,-1.78,-3.0,13.92,193.8,Med-High,-11.0,8.25,48.34,48.0,12.621664328067451,32.0,64.0,0.545,0.455,0.071,0.101
1,2025-09-07,CAR @ JAX,10,Historical Avg,-8.86,-9.0,13.22,174.68,Medium,-18.0,-2.0,41.93,42.0,11.884987333772127,27.0,57.0,0.773,0.227,0.072,0.078
1,2025-09-07,LV @ NE,10,Historical Avg,-11.74,-13.0,12.7,161.41,Med-Low,-21.0,-3.0,38.91,38.0,11.867564834248645,25.0,54.0,0.817,0.183,0.09,0.056
1,2025-09-07,ARI @ NO,10,Historical Avg,2.32,3.0,13.72,188.35,Med-High,-7.0,12.0,40.68,40.0,12.106218217078343,26.0,57.0,0.444,0.554,0.1,0.091
1,2025-09-07,PIT @ NYJ,10,Historical Avg,8.91,10.0,12.55,157.59,Low,1.0,17.0,38.9,38.0,11.694458146975059,24.0,54.0,0.239,0.761,0.086,0.079
1,2025-09-07,NYG @ WAS,8,Historical Avg,-4.13,-6.0,13.76,189.35,Med-High,-14.0,7.0,44.52,44.0,12.542369075339076,28.0,61.0,0.627,0.371,0.076,0.078
1,2025-09-07,TEN @ DEN,8,Historical Avg,-8.7,-9.0,12.78,163.26,Med-Low,-17.0,1.0,40.53,39.0,12.219829591088217,26.0,58.0,0.747,0.253,0.09,0.095
1,2025-09-07,SF @ SEA,8,Historical Avg,-3.0,-4.0,13.07,170.74,Medium,-12.0,7.0,48.86,48.0,13.052801984234637,33.0,65.0,0.576,0.422,0.091,0.094
1,2025-09-07,DET @ GB,10,Historical Avg,-3.7,-4.0,12.94,167.48,Med-Low,-13.0,6.0,53.31,53.0,13.3977703835844,36.0,71.0,0.616,0.381,0.096,0.106
1,2025-09-07,HOU @ LA,0,Dome,-7.19,-7.0,12.48,155.7,Low,-16.0,1.0,47.34,47.0,12.348910866938816,32.0,64.0,0.728,0.271,0.088,0.085
1,2025-09-07,BAL @ BUF,10,Historical Avg,0.8,1.0,13.98,195.4,High,-10.0,11.0,50.14,50.0,13.533355190147885,33.0,68.0,0.479,0.52,0.086,0.071
1,2025-09-08,MIN @ CHI,12,Historical Avg,-0.02,1.0,13.03,169.72,Med-Low,-10.0,10.0,40.24,40.0,11.878615302361698,25.900000000000006,56.0,0.491,0.508,0.097,0.112
