Rank,Team,Rating,Rating_Last,Rank_Last,Change,QB used
1,SEA,5.13,10.42,1,0,Darnold
2,LAR,4.08,8.12,2,0,Stafford
3,GB,3.3,5.09,8,-5,Love
4,DET,2.87,3.98,9,-5,Goff
5,SF,2.83,3.57,10,-5,Purdy
6,BUF,2.76,6.16,3,3,Allen
7,BAL,2.59,5.1,7,0,Jackson
8,JAC,2.48,5.41,6,2,Lawrence
9,PHI,2.38,5.52,4,5,Hurts
10,DEN,2.34,-0.48,17,-7,Nix
11,HOU,1.85,2.96,11,0,Stroud
12,NE,1.57,5.09,5,7,Maye
13,KC,1.47,-2.17,22,-9,Mahomes
14,IND,0.65,0.93,13,1,Jones
15,MIN,0.28,-0.75,18,-3,Murray
16,LAC,-0.37,1.12,12,4,Herbert
17,CHI,-0.49,0.9,14,3,Williams
18,ATL,-0.55,-0.79,19,-1,Tagovailoa
19,TB,-0.64,-1.4,21,-2,Mayfield
20,PIT,-0.84,0.59,15,5,Rodgers
21,DAL,-1.13,-1.01,20,1,Prescott
22,CIN,-1.19,-0.04,16,6,Burrow
23,WAS,-1.3,-5.43,27,-4,Daniels
24,NO,-1.72,-4.37,25,-1,Shough
25,ARI,-2.42,-4.4,26,-1,Brissett
26,CAR,-2.7,-3.79,24,2,Young
27,LV,-3.16,-8.15,30,-3,Cousins
28,CLE,-3.27,-6.94,29,-1,Watson
29,MIA,-3.54,-5.46,28,1,Willis
30,NYG,-3.58,-3.53,23,7,Dart
31,TEN,-4.46,-8.19,31,0,Ward
32,NYJ,-5.11,-9.26,32,0,Smith
