Team,HFA (Points),Home Rating (Adj),Away Rating (Adj),Global Rating,HFA EPA,HFA SR
CLE,4.557,-2.012,-11.126,-6.066,4.756,0.058
CAR,3.277,-1.13,-7.685,-4.279,1.289,0.062
CHI,2.284,4.563,-0.005,2.051,1.917,0.033
KC,2.24,2.848,-1.631,0.856,2.133,0.03
MIN,1.738,2.771,-0.704,0.844,1.668,0.023
JAX,1.393,5.123,2.338,3.672,-0.215,0.033
PIT,1.284,2.068,-0.499,0.731,1.414,0.016
BUF,1.202,3.473,1.07,2.251,0.805,0.019
GB,1.164,4.435,2.106,3.253,0.832,0.018
TEN,0.995,-6.248,-8.238,-7.115,1.478,0.008
PHI,0.914,5.24,3.413,4.272,0.608,0.015
ARI,0.768,-2.608,-4.145,-3.377,0.843,0.009
DET,0.566,4.148,3.016,3.602,-0.698,0.019
DEN,0.475,3.881,2.93,3.399,-0.59,0.016
MIA,0.257,-2.139,-2.652,-2.366,2.018,-0.013
IND,0.256,0.51,-0.001,0.277,0.671,-0.001
WAS,0.206,-2.151,-2.562,-2.359,-0.135,0.006
TB,0.026,-2.098,-2.149,-2.125,0.094,-0.0
NE,-0.088,2.351,2.526,2.44,-2.149,0.018
SF,-0.227,2.868,3.322,3.11,-2.196,0.016
LA,-0.327,8.865,9.52,9.209,-1.092,0.003
LAC,-0.37,0.972,1.712,1.315,-1.232,0.003
ATL,-0.479,-2.157,-1.199,-1.587,-2.133,0.009
HOU,-0.482,4.195,5.16,4.678,-0.199,-0.009
NYJ,-0.583,-7.394,-6.228,-6.855,0.587,-0.019
SEA,-0.724,8.002,9.449,8.731,-2.781,0.01
CIN,-0.887,-2.368,-0.595,-1.484,-3.017,0.009
NO,-1.175,-6.028,-3.678,-4.838,-3.556,0.007
LV,-1.753,-9.559,-6.053,-7.818,-3.373,-0.008
NYG,-1.804,-7.808,-4.201,-5.851,-3.297,-0.009
DAL,-1.851,-4.323,-0.621,-2.542,-3.106,-0.012
BAL,-5.327,-1.467,9.188,3.394,-8.257,-0.042
