Team,Power Rating,Projected QB,Starter Weight %,QB Adj (Pts),EPA Rating,SR Rating (Pts),Strength of Schedule,Offensive EPA/Game,Defensive EPA/Game,Special Teams EPA/Game,Rank,MP_Rating,Rating_Last,Rank_Last,Change,QB used,Diff,Abs_Diff
SEA,9.579,S.Darnold,0.842,0.206,10.356,8.541,0.418,2.861,-4.992,2.434,1,9.53,9.76,1,0,Darnold,0.049000000000001265,0.049000000000001265
LA,6.911,M.Stafford,0.987,0.041,7.882,5.865,0.612,7.807,-0.671,-1.149,2,9.47,9.27,2,0,Stafford,-2.559000000000001,2.559000000000001
HOU,4.972,C.Stroud,0.817,0.585,6.726,3.456,0.3,-2.206,-6.877,1.847,11,2.43,2.15,12,1,Stroud,2.5420000000000003,2.5420000000000003
NE,4.595,D.Maye,0.933,0.228,6.25,3.168,-2.093,5.666,-1.935,0.458,14,0.97,0.82,14,0,Maye,3.625,3.625
JAX,3.699,T.Lawrence,0.923,0.097,4.095,3.229,-0.805,2.763,-0.594,1.375,7,3.82,2.83,11,4,Lawrence,-0.121,0.121
DET,3.68,J.Goff,1.0,-0.0,4.084,3.206,0.678,4.405,0.816,-0.003,8,3.74,4.04,7,-1,Goff,-0.06000000000000005,0.06000000000000005
BUF,3.61,J.Allen,0.936,0.326,5.86,1.802,-0.25,7.669,0.21,-1.277,4,4.98,5.09,3,-1,Allen,-1.3700000000000006,1.3700000000000006
DEN,3.597,B.Nix,0.98,0.039,4.117,3.042,-1.476,2.325,-3.38,-0.306,10,3.43,3.24,10,0,Nix,0.16699999999999982,0.16699999999999982
PHI,3.536,J.Hurts,0.913,0.205,5.258,2.113,-0.522,1.441,-4.518,-0.246,3,5.49,4.41,4,1,Hurts,-1.9540000000000002,1.9540000000000002
BAL,3.232,L.Jackson,0.754,1.073,3.819,2.646,0.184,5.37,1.493,-0.207,5,4.35,3.3,9,4,Jackson,-1.1179999999999994,1.1179999999999994
GB,2.949,J.Love,0.862,0.946,3.809,2.181,0.564,8.117,3.065,-1.81,9,3.57,4.02,8,-1,Love,-0.621,0.621
SF,2.726,B.Purdy,0.674,1.508,5.039,0.916,1.209,7.027,4.287,1.263,6,3.99,4.4,5,-1,Purdy,-1.2640000000000002,1.2640000000000002
CHI,1.739,C.Williams,0.983,0.019,2.511,1.093,0.65,3.845,2.406,0.622,13,1.34,-0.14,16,3,Williams,0.399,0.399
MIN,1.257,J.McCarthy,0.502,-0.333,1.778,0.817,1.081,-3.823,-3.927,0.843,17,-0.1,-1.03,19,2,McCarthy,1.357,1.357
PIT,0.699,A.Rodgers,0.784,0.066,0.692,0.669,0.523,0.326,0.965,0.872,12,1.6,0.98,13,1,Rodgers,-0.9010000000000001,0.9010000000000001
LAC,0.651,J.Herbert,0.933,0.51,1.103,0.292,-0.56,-0.857,-3.432,-0.985,15,0.79,-0.33,17,2,Herbert,-0.139,0.139
ATL,-0.199,K.Cousins,0.561,-0.178,0.1,-0.406,-1.086,1.383,-0.627,-0.869,21,-1.47,-1.59,23,2,Cousins,1.271,1.271
IND,-0.234,R.Leonard,0.12,-0.056,0.464,-0.728,0.984,2.3,2.61,-0.108,16,0.76,-1.09,20,4,Rivers,-0.994,0.994
CIN,-0.417,J.Burrow,0.545,1.439,-0.358,-0.439,-0.151,4.547,5.905,1.045,23,-2.52,-1.28,21,-2,Burrow,2.103,2.103
TB,-2.024,B.Mayfield,1.0,0.0,-1.901,-2.013,-0.339,1.711,2.769,-0.409,22,-1.55,-1.43,22,0,Mayfield,-0.474,0.474
DAL,-3.329,D.Prescott,0.91,0.604,-3.848,-2.788,-1.264,6.445,9.361,0.226,19,-0.41,-0.03,15,-4,Prescott,-2.919,2.919
WAS,-3.433,J.Johnson,0.121,-3.115,-6.248,-1.224,0.08,-1.232,6.27,1.279,24,-2.85,-3.58,24,0,Mariota,-0.5829999999999997,0.5829999999999997
