Team,Origin_TZ,General Away Rating,EST Diff,CST Diff,MST Diff,PST Diff
BAL,EST,6.75,-1.11,1.76,-1.21,2.95
SEA,PST,5.69,1.38,-3.76,-5.95,1.93
LA,PST,4.45,0.01,-5.59,5.01,2.26
DET,EST,3.95,3.57,-0.92,2.33,-5.98
HOU,CST,3.18,1.66,-2.7,-9.42,0.11
PHI,EST,2.92,-0.23,-1.06,3.14,3.77
BUF,EST,2.69,-0.05,-3.83,1.72,6.89
SF,PST,1.99,1.72,-5.4,0.07,0.88
NE,EST,1.68,-0.11,1.32,1.19,-8.1
GB,CST,1.22,1.34,-1.64,-2.12,4.9
DEN,MST,0.89,-2.5,5.21,,-0.52
JAX,EST,0.09,-1.68,0.84,3.98,-1.3
LAC,PST,-0.06,-2.16,3.19,-2.54,2.85
TB,EST,-0.24,-2.18,6.09,5.62,-2.46
KC,CST,-0.3,4.8,-7.35,-6.43,-0.34
PIT,EST,-0.76,0.24,-1.25,2.79,-1.03
IND,EST,-0.99,-4.71,2.12,-3.54,4.77
CIN,EST,-1.46,3.23,-5.21,-7.98,1.29
MIN,CST,-1.55,1.96,2.55,3.66,-7.15
WAS,EST,-2.07,2.0,-7.75,11.52,12.08
DAL,CST,-2.17,-0.05,-1.8,-5.45,4.6
CHI,CST,-2.25,0.87,0.72,-14.67,-1.23
NO,CST,-2.66,2.76,-1.14,2.84,-7.39
ATL,EST,-2.84,-1.88,6.04,-1.2,-2.58
MIA,EST,-3.16,-0.31,0.75,0.92,2.41
ARI,MST,-4.28,-0.8,1.46,,-0.32
NYG,EST,-4.46,-3.13,0.39,3.88,9.11
NYJ,EST,-5.61,0.99,-4.1,-2.62,-0.07
CAR,EST,-6.11,-0.41,-0.64,-0.61,3.72
LV,PST,-6.41,-2.86,2.88,3.02,1.4
TEN,CST,-6.8,-1.96,2.0,4.88,0.3
CLE,EST,-8.82,-0.43,-5.82,3.31,8.01
